,property_type,state,lat,lon,area_m2,price_mxn
514,apartment,Distrito Federal,,,60,1480000
515,house,Nuevo León,25.662563,-100.18013,350,3000000
516,house,Sinaloa,23.246303,-106.398103,200,1000000
517,house,Morelos,18.969294,-99.249802,198,2600000
518,apartment,Guerrero,16.75063911,-99.76263069,70,830000
519,house,Querétaro,,,145,780000
520,house,Distrito Federal,19.335116,-99.223332,90,3260000
521,apartment,Distrito Federal,19.402944,-99.199727,70,1163600
522,house,Estado de México,19.682219,-99.118782,188,3100000
523,house,Nuevo León,25.7214602,-100.2735673,85,1200000
524,house,Querétaro,20.5980665,-100.4308988,115,1350000
525,house,Nuevo León,25.672399,-100.257777,123,1220000
526,house,Nuevo León,,,62,800000
527,apartment,Distrito Federal,19.399815,-99.150806,90,2280000
528,house,Yucatán,20.9550515,-89.6793392,120,780000
529,house,Chiapas,16.228815,-92.128043,147,1300000
530,apartment,Jalisco,20.69064,-103.393175,166,5217265
531,house,Querétaro,,,212,4000000
532,house,Estado de México,19.258327,-99.598374,215,4695000
533,house,Querétaro,20.726007,-100.442642,295,5200000
534,apartment,Distrito Federal,19.403334,-99.157755,125,4580150
535,apartment,Baja California,32.451368,-116.973935,70,685750
536,house,Aguascalientes,21.901482,-102.34405,350,3850000
537,house,Jalisco,20.302476,-103.23781,340,5949000
538,house,Puebla,19.076204,-98.266733,117,1350000
539,apartment,Distrito Federal,19.48778,-99.110583,65,1000000
540,house,Distrito Federal,19.3176966,-99.0612554,100,2075000
541,house,Chiapas,,,210,1500000
542,house,Quintana Roo,21.129547,-86.817017,180,1850000
543,house,Puebla,19.046724,-98.254127,136,2284800
544,apartment,Distrito Federal,19.352431,-99.288369,80,2900000
545,house,Morelos,18.858107,-99.200287,92,995580
546,house,Querétaro,20.6536084,-100.3469826,130,1690000
547,house,Nuevo León,25.7542524,-100.4034274,137,1350000
548,house,Estado de México,,,108,1240000
549,house,Yucatán,21.006756,-89.570984,155,1350000
550,house,Morelos,18.891621,-99.071698,68,790000
551,house,Distrito Federal,19.317653,-99.236291,350,3350000
552,house,Tamaulipas,22.246319,-97.86264,163,2150000
553,apartment,Distrito Federal,23.634501,-102.552788,100,1500000
554,apartment,Distrito Federal,19.3651763,-99.2300641,66,1250000
555,house,Querétaro,20.593055,-100.333424,175,1800000
556,house,Nuevo León,25.6910283,-100.3568071,340,5900000
557,house,Jalisco,20.594706,-103.396278,90,980000
558,house,Veracruz de Ignacio de la Llave,23.634501,-102.552788,148,1550000
559,house,Puebla,18.989918,-98.2295,220,1700000
560,house,Puebla,19.043993,-98.25757,188,1500000
561,house,Hidalgo,20.1213329,-98.7818531,66,650000
562,house,Estado de México,,,90,1354548
563,house,Nayarit,20.733392,-105.288009,172,2250000
564,apartment,Distrito Federal,19.400249,-99.177444,150,5200000
565,house,Puebla,,,226,3000000
566,house,Yucatán,21.023252,-89.614571,300,3100000
567,house,Hidalgo,20.124367,-98.735725,176,1567000
568,house,Veracruz de Ignacio de la Llave,25.510947,-103.357724,146,900000
569,apartment,Distrito Federal,19.480501,-99.178139,70,870000
570,house,Yucatán,21.030668,-89.599258,305,3600000
571,house,Querétaro,20.679045,-100.341225,157,1950000
572,house,Aguascalientes,21.9633957,-102.343524,146,790000
573,house,Baja California,32.469498,-116.96022,111,650000
574,house,Puebla,,,129,1189000
575,house,Tamaulipas,22.329824,-97.880325,138,1580000
576,apartment,Yucatán,21.039522,-89.563911,145,2399634
577,house,Chiapas,19.701769,-101.145103,120,650000
578,apartment,Guerrero,16.870413,-99.873192,150,3650000
579,house,Morelos,,,250,4800000
580,house,Estado de México,19.765149,-98.646915,380,1990000
581,apartment,Distrito Federal,19.372248,-99.133377,65,1074852
582,house,Distrito Federal,19.280767,-99.033615,349,1811525
583,house,Chiapas,,,170,990000
584,apartment,Distrito Federal,19.389791,-99.164696,154,5000000
585,house,Yucatán,21.039522,-89.563911,350,3050000
586,house,Estado de México,19.668947,-99.224525,90,760000
