,property_type,state,lat,lon,area_m2,price_usd
428,house,Veracruz de Ignacio de la Llave,19.123617,-96.113161,220,"$99,577.45"
429,house,Distrito Federal,19.355938,-99.129918,200,"$315,618.38"
430,house,Baja California Sur,19.35913,-98.983431,189,"$62,696.91"
431,house,Yucatán,20.989016,-89.632225,300,"$131,747.44"
432,house,Yucatán,,,220,"$112,617.71"
433,house,Quintana Roo,,,81,"$45,321.12"
434,house,Veracruz de Ignacio de la Llave,25.453195,-100.935486,203,"$94,818.28"
435,house,Yucatán,20.938659,-89.615316,173,"$50,052.15"
436,house,Tamaulipas,22.270658,-97.849037,263,"$176,541.57"
437,house,Chiapas,16.78141,-93.096451,87,"$51,381.50"
438,apartment,Estado de México,,,157,"$216,014.58"
439,house,Chiapas,19.691938,-101.176615,220,"$155,425.12"
440,house,Estado de México,19.64079,-99.098691,105,"$68,492.42"
441,apartment,Puebla,19.011347,-98.246264,139,"$179,134.04"
442,house,Jalisco,20.647029,-103.454953,122,"$77,975.99"
443,house,Morelos,18.905066,-99.224869,120,"$121,178.91"
444,house,Veracruz de Ignacio de la Llave,19.06681288,-96.07347608,271,"$173,865.39"
445,house,Distrito Federal,,,308,"$191,283.81"
446,house,Querétaro,20.705742,-100.444016,350,"$184,446.42"
447,house,Estado de México,19.54323,-99.222374,181,"$154,950.94"
448,house,Sinaloa,24.8090649,-107.3940117,212,"$112,222.21"
449,house,Tamaulipas,25.872879,-97.509221,287,"$115,910.26"
450,house,Distrito Federal,19.373264,-99.104161,250,"$135,430.60"
451,apartment,Distrito Federal,19.383952,-99.160229,100,"$174,140.42"
452,house,Chiapas,16.757278,-93.134056,298,"$181,084.17"
453,house,Tamaulipas,22.320061,-97.86808,67,"$35,835.30"
454,house,Guanajuato,20.58343642,-101.1981905,180,"$131,747.44"
455,apartment,Distrito Federal,19.396018,-99.147827,80,"$183,989.52"
456,house,Chiapas,19.646418,-101.238213,153,"$97,469.99"
457,house,Estado de México,19.5896123,-99.2907617,60,"$34,254.33"
458,house,Querétaro,20.631845,-100.390495,315,"$237,089.17"
459,house,Querétaro,,,180,"$120,125.18"
460,house,Baja California Sur,24.083153,-110.303329,65,"$33,358.45"
461,house,Veracruz de Ignacio de la Llave,19.144342,-96.139002,140,"$68,492.42"
462,house,Estado de México,19.272027,-99.553293,107,"$71,653.61"
463,house,Sonora,,,301,"$135,404.26"
464,house,Baja California,,,61,"$38,461.13"
465,house,Hidalgo,20.1010608,-98.7591311,320,"$192,305.66"
466,house,Veracruz de Ignacio de la Llave,18.1495449,-94.5140773,104,"$57,955.13"
467,apartment,Distrito Federal,19.333901,-99.240356,85,"$179,134.04"
468,apartment,Distrito Federal,19.390031,-99.174182,108,"$209,692.20"
469,house,Nuevo León,25.781807,-100.187794,155,"$65,858.10"
470,apartment,Distrito Federal,,,170,"$289,775.66"
471,house,Querétaro,20.7012562,-100.4654217,295,"$187,081.37"
472,apartment,Distrito Federal,19.365834,-99.263505,126,"$180,187.77"
473,house,Yucatán,20.9637793,-89.6612548,249,"$44,783.51"
474,apartment,Estado de México,19.404701,-99.292419,300,"$284,047.49"
475,house,Veracruz de Ignacio de la Llave,18.879525,-96.921847,123,"$55,320.80"
476,house,Puebla,18.978682,-98.250015,162,"$88,513.29"
477,house,Querétaro,20.6205869,-100.388042,322,"$209,955.63"
478,house,Morelos,,,186,"$100,104.31"
479,house,Morelos,,,147,"$113,275.94"
480,apartment,Nuevo León,25.654263,-100.297874,114,"$55,333.92"
481,house,Estado de México,19.180459,-99.590174,175,"$134,382.39"
482,apartment,Durango,24.010702,-104.613602,88,"$43,213.16"
483,apartment,Distrito Federal,19.474655,-99.189277,60,"$40,041.72"
484,apartment,Querétaro,20.65449,-100.384446,160,"$250,320.14"
485,house,Veracruz de Ignacio de la Llave,25.569556,-103.383702,244,"$101,158.04"
486,house,Morelos,18.813505,-98.953514,66,"$34,246.21"
487,house,Quintana Roo,21.118165,-86.880921,189,"$118,544.58"
488,apartment,Tabasco,17.972448,-92.960579,104,"$57,968.87"
489,house,Veracruz de Ignacio de la Llave,19.165146,-96.160652,220,"$139,619.18"
490,apartment,Distrito Federal,19.3499358,-99.2906864,78,"$147,557.13"
491,apartment,Estado de México,19.402713,-99.27547,130,"$101,196.61"
492,house,Yucatán,,,185,"$123,315.60"
493,house,Morelos,18.948109,-99.26886,200,"$155,461.98"
494,house,Querétaro,20.5887932,-100.3898881,334,"$279,238.36"
495,apartment,Distrito Federal,19.406592,-99.155442,90,"$224,660.17"
496,house,Nuevo León,25.677525,-100.258614,257,"$115,937.75"
497,house,Distrito Federal,,,196,"$69,720.74"
498,house,Chihuahua,,,108,"$41,095.45"
499,house,Distrito Federal,19.318989,-99.094437,100,"$98,523.72"
500,house,Querétaro,20.712143,-100.454275,230,"$152,790.80"
501,house,Yucatán,21.01429,-89.605148,280,"$144,922.18"
502,house,Veracruz de Ignacio de la Llave,19.532306,-96.897717,100,"$60,589.45"
503,house,Veracruz de Ignacio de la Llave,19.173773,-96.1342241,160,"$52,686.48"
504,house,Veracruz de Ignacio de la Llave,19.139896,-96.109911,163,"$68,492.42"
505,house,Puebla,,,235,"$131,716.20"
506,house,Baja California,32.665619,-115.433372,134,"$133,442.74"
507,house,Tamaulipas,22.270658,-97.849037,93,"$65,873.72"
508,house,Yucatán,21.021821,-89.634346,235,"$110,641.61"
509,apartment,Querétaro,20.5887932,-100.3898881,178,"$316,118.90"
510,house,Veracruz de Ignacio de la Llave,19.142568,-96.125389,214,"$92,728.21"
511,house,Morelos,18.970675,-99.288261,333,"$156,742.28"
512,house,Morelos,18.813505,-98.953514,90,"$52,686.48"
513,house,Veracruz de Ignacio de la Llave,,,168,"$54,793.94"
514,house,Sonora,27.492618,-109.960496,270,"$147,522.15"
515,house,Quintana Roo,20.65593,-87.05368,210,"$225,024.63"
516,house,Baja California Sur,24.143626,-110.336274,180,"$226,551.88"
517,house,Guerrero,16.841759,-99.847374,97,"$67,981.68"
518,house,Chiapas,,,200,"$152,790.80"
519,apartment,Veracruz de Ignacio de la Llave,19.125867,-96.106026,189,"$279,238.36"
520,house,Chihuahua,23.634501,-102.552788,200,"$42,149.18"
521,house,Jalisco,20.6081525,-103.3946675,150,"$43,993.21"
522,apartment,Yucatán,21.029198,-89.607506,200,"$139,619.18"
523,house,Morelos,18.927336,-99.213448,145,"$121,178.91"
524,house,Veracruz de Ignacio de la Llave,25.439677,-100.946717,172,"$90,589.54"
525,apartment,Distrito Federal,19.472481,-99.182374,75,"$80,635.87"
526,house,Estado de México,19.514382,-99.258682,150,"$77,325.47"
527,house,Distrito Federal,19.325355,-99.232561,136,"$306,635.33"
528,house,Yucatán,21.072905,-89.65963,250,"$110,641.61"
529,house,San Luis Potosí,22.14691,-101.038651,245,"$144,922.18"
530,house,Morelos,18.879347,-99.179871,184,"$136,984.85"
531,house,Tabasco,18.03410232,-92.98419938,161,"$125,950.55"
532,house,Morelos,23.634501,-102.552788,338,"$147,522.15"
533,house,Puebla,18.921051,-98.417053,116,"$91,463.73"
534,house,Puebla,19.014643,-98.170731,140,"$89,588.26"
535,house,Morelos,18.858107,-99.200287,78,"$34,246.21"
536,house,Morelos,18.945309,-99.22372,380,"$263,432.41"
537,house,Yucatán,21.0381057,-89.5933722,213,"$118,572.70"
538,apartment,Distrito Federal,19.474655,-99.189277,70,"$50,064.02"
539,house,Yucatán,21.072905,-89.65963,200,"$102,763.00"
540,house,Veracruz de Ignacio de la Llave,25.531834,-103.315276,150,"$41,105.20"
541,apartment,Nuevo León,25.651072,-100.342773,92,"$208,160.96"
542,house,Estado de México,19.499864,-99.050138,175,"$100,104.31"
543,house,Estado de México,19.555771,-99.248612,200,"$94,256.11"
544,house,San Luis Potosí,22.157743,-100.94397,225,"$75,078.23"
545,house,Nuevo León,25.6769684,-100.4508956,107,"$50,052.15"
546,house,San Luis Potosí,22.14700093,-101.0172996,160,"$109,587.88"
547,house,Puebla,,,147,"$98,260.29"
548,house,Guerrero,16.85678,-99.853204,280,"$200,208.63"
549,apartment,Estado de México,19.424913,-99.271629,69,"$57,422.47"
550,house,Estado de México,19.54966748,-99.01653931,90,"$50,052.15"
551,house,Guerrero,16.867283,-99.867119,150,"$139,619.18"
552,house,Chiapas,,,224,"$142,287.24"
553,house,Morelos,18.811808,-98.94649,100,"$47,417.83"
554,apartment,Morelos,,,143,"$123,813.23"
555,apartment,Distrito Federal,19.396502,-99.128797,80,"$39,946.36"
556,apartment,Sinaloa,,,85,"$70,863.32"
557,apartment,Yucatán,21.017197,-89.574516,66,"$83,771.50"
558,house,Hidalgo,20.06499132,-98.76800179,100,"$57,955.13"
559,house,Tamaulipas,22.266645,-97.870796,296,"$210,745.93"
560,house,Estado de México,18.948179,-99.482277,170,"$131,716.20"
561,apartment,Yucatán,21.3421022,-89.2624626,202,"$210,743.21"
562,house,Puebla,19.044477,-98.328011,235,"$168,636.73"
563,house,Chihuahua,28.6556674,-106.0711926,159,"$68,205.43"
564,house,Distrito Federal,19.2826778,-99.2090757,161,"$144,887.83"
565,apartment,Distrito Federal,19.48888,-99.179278,70,"$51,393.55"
566,house,Chiapas,16.732222,-93.135307,240,"$131,716.20"
567,house,Veracruz de Ignacio de la Llave,23.634501,-102.552788,205,"$78,766.29"
568,house,Yucatán,21.0381057,-89.5933722,165,"$100,075.35"
569,apartment,Guerrero,16.801018,-99.824979,98,"$99,577.45"
570,house,Estado de México,19.6850991,-99.2113669,62,"$37,943.26"
571,house,Puebla,,,228,"$142,253.50"
572,house,Morelos,18.9212022,-99.1739857,125,"$62,184.79"
573,house,Yucatán,21.030668,-89.599258,320,"$189,663.62"
574,apartment,Puebla,18.96785528,-98.28487086,127,"$176,979.24"
575,house,Nuevo León,25.723516,-100.393311,365,"$242,415.29"
576,house,Yucatán,21.0151423,-89.6551671,180,"$68,245.17"
